id;workspace_id;opportunity_id;task_id;deal_room_id;actor_type;actor_id;event_type;event_description;payload;compute_credits;action_credits;outcome_credits;attribution_tags;attribution_weight;value_category;requires_xodiak_log;xodiak_anchor_status;event_hash;xodiak_tx_hash;merkle_batch_id;created_at;anchored_at
1ce7e71c-9f1b-41cb-8081-66eae8a8a701;;;758d3f04-89ad-4d39-9dfb-136d94d93a67;;human;6f3358ea-2084-4615-9805-42bd8e06de44;task_created;Task created: Calendar ;{};0;1;0;[];1.0;ops;true;queued;0xde8825fdfa357a43be351c4861f014bd;;;2026-02-01 23:50:40.955087+00;
1c63b174-8176-460b-8b95-aedea27a99b0;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 19:54:57.138702+00;
dc7226d4-9834-48f3-a572-599ea887da60;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 19:58:13.893257+00;
e7081ec4-793b-4882-9b56-1790b7d4da60;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 20:02:34.344708+00;
3896ee7b-0e37-452c-be0b-b0f9993c166b;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 20:47:47.232574+00;
272afee9-8df6-423a-9cbe-361c128f2ecb;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:01:01.556814+00;
ba8790d6-3f08-4eec-b02f-874221dbbc9c;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:10:08.49472+00;
f92a999c-1dd2-4578-89fb-2ad85ca6e77b;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:11:23.320457+00;
786696a4-4eb8-4ba1-8b00-a6505ced9e02;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:12:23.181969+00;
62d18e01-ea16-4cae-aa75-4aa115e9085d;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:13:20.722428+00;
abc2c254-75bb-4d56-9ad6-388059a9c78e;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:14:19.493021+00;
25287719-0723-4202-998e-0fe2ad8d0bab;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:15:27.384907+00;
79041308-0200-42dc-9cd5-f5d1c70a0bcd;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:17:25.092044+00;
64a67474-972a-4796-9e72-2f627eb32f35;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-02 21:18:31.87926+00;
0aa067a8-03cf-48f2-a36d-12001122b9e6;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:10:42.85687+00;
cd10a538-def9-4d31-b9d7-3e7b33db3934;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:11:48.848795+00;
40ea5841-c038-40b1-b696-e0d25c956bf8;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:12:55.688908+00;
78de857e-0094-44ac-b192-1d31b24b213b;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:14:01.432239+00;
e7dda8a4-3e7e-43d3-be6e-fce9a1cafe73;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:15:09.643826+00;
ae4b9c89-b93d-4891-a1a4-79064d8918be;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:16:15.448499+00;
1d55200f-3012-4738-a873-f5e462499c5c;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:18:14.106092+00;
635bf041-b7e6-4021-b058-11343c38871e;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-10 20:19:18.541829+00;
6e8a75ec-bb46-4d89-814c-42722365bf13;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:04:56.201068+00;
c1977bd2-cdd0-4ddf-a440-a6eb5b432fb8;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:06:14.288365+00;
ee49cff4-d242-44bb-a91c-565c447e3620;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:07:22.684299+00;
83e10f3c-3cee-4cc9-ac2c-a24a85581538;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:08:37.331262+00;
62e082c4-1b22-4524-bb4c-6f3c572bba67;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:09:46.944679+00;
d1375bf1-1bb5-4f59-907e-b41549f51c7d;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:10:52.586628+00;
7ab42e80-1cbb-43ab-bae5-ba64479a78fb;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:12:45.640586+00;
441d1a20-b3e6-4718-b034-151c0169df09;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 02:14:03.455956+00;
f6c07f5b-9b0b-44bc-b142-0740ee93d15f;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 08:03:19.157715+00;
90321b64-a18b-466b-81e9-ffee0fcbd556;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 08:04:30.36074+00;
3255f72f-a34a-4878-b8d1-d1328378d3cf;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 08:05:32.2764+00;
4a6742ea-5adc-4d47-8f07-a921ab6a5f40;;;;a1b2c3d4-e5f6-7890-abcd-ef1234567890;agent;6c9f427a-b261-415b-820a-9c5a3d52a526;agent_executed;lindy.ai workflow: trigger_detected;"{""agent_slug"":""signal_scout"",""auto_registered"":false,""source_platform"":""lindy.ai""}";1;2;0;"[""lindy.ai"",""trigger_detected""]";1.0;;true;pending;;;;2026-02-11 08:06:42.820381+00;
