id;user_id;name;industry;website;phone;email;address;city;state;zip_code;country;employee_count;annual_revenue;description;logo_url;source;status;tags;custom_fields;external_crm_id;external_crm_type;created_at;updated_at;client_id;research_data;perplexity_last_researched;abundant_resources;resource_deficits;strategic_opportunities;potential_match_score;initiative_id
f3bd3077-4b99-4ad1-983d-fd37a1182e91;b8c5a162-5141-422e-9924-dc0e8c333790;Quantum Bit Code;;;;;;;;;;;;;;;active;"[""ai-created""]";{};;;2025-12-07 07:39:10.408471+00;2025-12-07 07:39:10.408471+00;;;;[];[];[];0;
c119bc93-9083-4e90-b39f-d5267f917108;b8c5a162-5141-422e-9924-dc0e8c333790;Quantum Bit Code;;;;;;;;;;;;;;;active;"[""ai-created""]";{};;;2025-12-07 07:39:43.114884+00;2025-12-07 07:39:43.114884+00;;;;[];[];[];0;
0a4a5c1b-808c-4cb1-84c7-52c116f46586;b8c5a162-5141-422e-9924-dc0e8c333790;My EV Charging Co;EV Infrastructure;;;;;;;;;;;New venture for EV Charging Stations initiated by user.;;;active;"[""ai-created""]";{};;;2025-12-12 16:05:02.43771+00;2025-12-12 16:05:02.43771+00;;;;[];[];[];0;
009ae852-2962-47e8-851b-f3c2d3fbef2c;b8c5a162-5141-422e-9924-dc0e8c333790;Blue Science;Pool Services;http://bluescience.com/;;;;;;;;;;Potential provider for pool services.;;;active;"[""ai-created""]";{};;;2025-12-27 22:41:50.283465+00;2025-12-27 22:41:50.283465+00;;;;[];[];[];0;
e5ff1836-0d78-40e0-a2aa-16b5c83757d2;b8c5a162-5141-422e-9924-dc0e8c333790;Palantir;;;;;;;;;;;;"How many people have seen a police program that's being used
called Palantier? It is in your police officer's car,
on your police officer's computer.
So while you've got the person pulled over,
you can start to drill down on this person.
It's not just like a DMV photo and an NCI see anymore.
You can see all their bank accounts,
the balance in their bank accounts,
the last times they declared cash somewhere.
You can see every time they hit a flock camera anywhere in the country.
Flock is a giant
national traffic monitoring system that is basically everywhere now.
And they're taking photographs at every intersection all day.
And it's using  AI to likeAI powered tools
read license plates and put identities of people places.
And it's just keeping all that data,
like all of it. That's what they've got in their car right now.
And we're not getting that in discovery.
We're not able to confront it
and we're not able to use it as Brady evidence.
We've got Fourth Amendment issues galore, obviously.
I didn't realize how prevalent it was.
There has never been a surveillance program
in the history of the United States
that was not used brutally,
in a corrupt fashion.
And now we have the biggest surveillance system that we've ever had.";;;active;"[""ai-created""]";{};;;2026-01-06 08:57:01.591118+00;2026-01-06 08:57:01.591118+00;;;;[];[];[];0;
ab62964d-1b27-4ea5-870a-2113d97e374e;b8c5a162-5141-422e-9924-dc0e8c333790;1-800-PLUMBER + AIR;Plumbing, Heating & Cooling;https://www.1800plumber.com;1-800-758-6237;;;;;;;;;;;;active;"[""ai-created""]";{};;;2026-01-07 21:54:49.240274+00;2026-01-07 21:54:49.240274+00;;;;[];[];[];0;
fa2062eb-8ab5-4595-b3b0-5e66040e1913;b8c5a162-5141-422e-9924-dc0e8c333790;Pace Morby;;;;;;;;;;;;;;;active;"[""ai-created""]";{};;;2026-01-13 19:31:38.30281+00;2026-01-13 19:31:38.30281+00;;;;[];[];[];0;
ea3b8b4b-cf15-4832-9a16-3d8b50aeec2a;b8c5a162-5141-422e-9924-dc0e8c333790;Oxford Flow;;;;;;;;;;;;;;;active;"[""ai-created""]";{};;;2026-01-14 23:28:31.190817+00;2026-01-14 23:28:31.190817+00;;;;[];[];[];0;
e2103c7f-00f0-4c0b-a3c8-7b7d881b58d7;b8c5a162-5141-422e-9924-dc0e8c333790;SEKO Logistics;;;;;;;;;;;;;;;active;"[""ai-created""]";{};;;2026-01-14 23:48:56.963174+00;2026-01-14 23:48:56.963174+00;;;;[];[];[];0;
93a2a3e9-2648-47e9-9a2a-845b75a080ee;b8c5a162-5141-422e-9924-dc0e8c333790;Merit Advisors;;;;;;;;;;;;;;;active;"[""ai-created""]";{};;;2026-01-15 00:05:27.31894+00;2026-01-15 00:05:27.31894+00;;;;[];[];[];0;
