id;user_id;client_id;name;description;original_prompt;status;initiative_type;scaffolded_entities;generated_content;workspace_structure;ai_recommendations;progress_percent;target_date;completed_at;created_at;updated_at
5b3f1368-332c-476d-acdd-89536937ee19;b8c5a162-5141-422e-9924-dc0e8c333790;;I want to run Biz Dev workshops at St. Constantine School, teaching parents about modern business de;I want to run Biz Dev workshops at St. Constantine School, teaching parents about modern business development and students about entrepreneurship and the third stage would be to help parents and their kids learn how to work together. I want to challenge the stigma that you should not do business with family or friends. With tools that are available these days, especially like those in the Biz Dev App including the deals room, zero trust Deals can be created, this can lead to more vulnerability, but prosperity in that it will create a mindset of abundance instead of paranoia, distrust, scarcity. Help me articulate why the Biz Dev App can help with all of this. Whether it is valuable for parents and kids to share their wisdom from their generations, or parents want to teach their kids how to take over their business or families want to do business the members of their family or other families, I want us to figure out a curriculum that can be used in a workshop where I can be present but also that is digital and gives people the tools via the Biz Dev app to learn and run with their goals and dreams, we help them structure that initiative. The goal on our end is to help with everything I just described but also start adding users to the Biz Dev app and it will lead to an amazing ecosystem. We need to partner with Majida Baba, Create curriculum, handle registrations, and track outcomes;;scaffolding;workshop;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-17 20:15:09.194846+00;2026-01-17 20:15:09.194846+00
279bb480-d1c4-4f1c-a198-9b5eefa88308;b8c5a162-5141-422e-9924-dc0e8c333790;;Armexa/KSI Go-To-Market Engine;"To systematically win the first clients for the Armexa/KSI ""Run and Maintain"" joint venture by creating their go-to-market arsenal (decks, infographics), automating outreach to target PE firms, building their authority through speaking engagements, and orchestrating the final deal in a dedicated Deal Room.";"To systematically win the first clients for the Armexa/KSI ""Run and Maintain"" joint venture by creating their go-to-market arsenal (decks, infographics), automating outreach to target PE firms, building their authority through speaking engagements, and orchestrating the final deal in a dedicated Deal Room.";scaffolding;partnership;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-22 20:05:40.552926+00;2026-01-22 20:05:40.552926+00
8ed15b0f-a804-443e-8553-cf971a3d683f;b8c5a162-5141-422e-9924-dc0e8c333790;;Chevron Technology Ventures Strategic Partnership;Secure strategic investment and partnership from Chevron Technology Ventures, led by Ryan Owens, based on the Project Heterodox Operating System proposal.;Secure strategic investment and partnership from Chevron Technology Ventures, led by Ryan Owens, based on the Project Heterodox Operating System proposal.;scaffolding;custom;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-22 21:34:54.859767+00;2026-01-22 21:34:54.859767+00
518c10b5-bc48-4dc8-81f4-f531d1364d0f;b8c5a162-5141-422e-9924-dc0e8c333790;;NANO, LLC Strategic Partnership with Kit Parker;Establish a strategic partnership with Professor Kevin '''Kit''' Parker and his Disease Biophysics Group at Harvard to license the NANO, LLC trademark portfolio for their precision food technology applications (Lasso SpinTech). The initiative aims to position NANO's brand architecture as the standard for the precision manufacturing era by leveraging the BizDev App's Deal Room for deal orchestration. This captures the strategic convergence of Jason Lopez's regulatory/operational expertise and Bil;Establish a strategic partnership with Professor Kevin '''Kit''' Parker and his Disease Biophysics Group at Harvard to license the NANO, LLC trademark portfolio for their precision food technology applications (Lasso SpinTech). The initiative aims to position NANO's brand architecture as the standard for the precision manufacturing era by leveraging the BizDev App's Deal Room for deal orchestration. This captures the strategic convergence of Jason Lopez's regulatory/operational expertise and Bill Mercer's engineering/systems architecture.;scaffolding;partnership;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-23 07:41:58.385083+00;2026-01-23 07:41:58.385083+00
b4c1991e-7aeb-497f-a357-3207867f919e;b8c5a162-5141-422e-9924-dc0e8c333790;;Biz Dev App Strategic Partnership for Mari Salcido;To partner with Mari Salcido of SEKO Logistics, leveraging the Biz Dev App to help her find more clients through Opportunity Discovery, protect her commissions and intellectual property in complex logistics deals using Deal Rooms and XODIAK Relationship Anchoring, and enhance her professional efficiency with the full platform suite.;To partner with Mari Salcido of SEKO Logistics, leveraging the Biz Dev App to help her find more clients through Opportunity Discovery, protect her commissions and intellectual property in complex logistics deals using Deal Rooms and XODIAK Relationship Anchoring, and enhance her professional efficiency with the full platform suite.;scaffolding;partnership;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-26 04:22:13.353678+00;2026-01-26 04:22:13.353678+00
1b7c7db3-34d2-4359-8d49-1bbaf591a510;b8c5a162-5141-422e-9924-dc0e8c333790;;St. Constantine Education Workshop Program;To create and manage a specialized business and educational workshop program, with an initial focus on positioning it as a qualified state vendor to capture grant opportunities like the Texas ESA fund.;To create and manage a specialized business and educational workshop program, with an initial focus on positioning it as a qualified state vendor to capture grant opportunities like the Texas ESA fund.;scaffolding;workshop;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-26 06:11:42.594739+00;2026-01-26 06:11:42.594739+00
06351472-06d3-47f4-b345-860e75b94ab9;b8c5a162-5141-422e-9924-dc0e8c333790;;St. Constantine Innovation & Entrepreneurship Ecosystem;A multi-phase initiative to build a self-sustaining ecosystem of innovation, connection, and next-generation entrepreneurship within the St. Constantine school community, starting with a parent-focused summit and expanding to student and family programs, all powered by the Biz Dev App.;A multi-phase initiative to build a self-sustaining ecosystem of innovation, connection, and next-generation entrepreneurship within the St. Constantine school community, starting with a parent-focused summit and expanding to student and family programs, all powered by the Biz Dev App.;scaffolding;custom;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-26 07:28:50.993504+00;2026-01-26 07:28:50.993504+00
81d9326b-a873-4453-857b-4340de23fb50;b8c5a162-5141-422e-9924-dc0e8c333790;;Project Apex;A multi-phase grand strategy to build a multi-billion dollar, fully integrated oil and gas company. This will be executed via a buy-and-build strategy, using Mergers & Acquisitions (M&A) to acquire and integrate assets across the upstream, midstream, and downstream sectors.;A multi-phase grand strategy to build a multi-billion dollar, fully integrated oil and gas company. This will be executed via a buy-and-build strategy, using Mergers & Acquisitions (M&A) to acquire and integrate assets across the upstream, midstream, and downstream sectors.;scaffolding;custom;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-29 01:00:12.033885+00;2026-01-29 01:00:12.033885+00
3f3653bb-c44d-46df-9ede-18df813550f8;b8c5a162-5141-422e-9924-dc0e8c333790;;Invonics RMR Engine;To transform Invonics into a recurring revenue business by integrating the Sandler Partners portfolio, resulting in a consulting fee and long-term channel commission for us.;To transform Invonics into a recurring revenue business by integrating the Sandler Partners portfolio, resulting in a consulting fee and long-term channel commission for us.;scaffolding;partnership;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-29 01:14:29.951478+00;2026-01-29 01:14:29.951478+00
2cd870c0-8d8c-4993-8bc7-4823534d0e12;b8c5a162-5141-422e-9924-dc0e8c333790;;Invonics RMR Growth Strategy;Develop and execute a strategy to transition Invonics from a project-based installer to a recurring revenue model by leveraging the Sandler Partners ecosystem. The primary goals are to sign Invonics as a consulting client and to generate commission revenue through their sales of Sandler services.;Develop and execute a strategy to transition Invonics from a project-based installer to a recurring revenue model by leveraging the Sandler Partners ecosystem. The primary goals are to sign Invonics as a consulting client and to generate commission revenue through their sales of Sandler services.;scaffolding;custom;"{""companies"":[],""contacts"":[],""deal_rooms"":[],""tasks"":[],""workflows"":[]}";"{""curriculum"":[],""emails"":[],""proposals"":[]}";{};[];0;;;2026-01-29 01:14:31.116882+00;2026-01-29 01:14:31.116882+00
