id;user_id;navigation_count;interaction_count;transaction_count;communication_count;content_count;workflow_count;search_count;total_transaction_value;avg_session_duration_ms;module_engagement;peak_hours;preferred_modules;completion_rate;first_event_at;last_event_at;updated_at;behavior_embedding;traits;action_sequence_signature
30692e57-f821-4ece-9a3b-578016ce6ebb;646faac3-2ac4-4f84-9a1f-38ece557c07a;1;0;0;0;0;0;0;0;;{};;;;2026-01-07 20:12:14.241002+00;2026-01-07 20:12:14.514921+00;2026-01-07 20:12:14.514921+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
2243c7e0-a33a-4bbf-86d0-ff71acac0e2d;94c9d8d1-6f27-45ce-b089-154e3b4915e6;13;0;0;0;0;0;0;0;;{};;;;2026-01-26 18:05:02.153759+00;2026-02-02 21:13:36.593621+00;2026-02-02 21:13:36.593621+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
00505f34-a159-45e6-884c-3b06f15e4c80;d69cd7c4-6a8a-4c67-9985-df9348c402d5;0;0;0;0;0;0;0;0;;{};;;;2026-01-07 20:52:32.378461+00;2026-01-07 20:52:32.378461+00;2026-01-07 20:52:32.378461+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
d25347fc-44c7-474c-9107-27d54ee13586;98574521-e4a2-4c5e-bd2c-fb03affb0cdf;3;0;0;0;0;0;0;0;;{};;;;2026-01-06 21:37:53.953413+00;2026-01-08 21:21:17.766267+00;2026-01-08 21:21:17.766267+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
0f8dee94-ba59-41f3-9c1f-fdfed38f085a;f8bfe1da-5fd8-4aff-8a7b-186fe03238ac;15;0;0;0;0;0;0;0;;{};;;;2026-01-08 17:06:51.393638+00;2026-01-08 19:18:53.672326+00;2026-01-08 19:18:53.672326+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
2c7c96e2-8f40-46d1-a49c-ccb9d179feac;1b70bcd5-5ea9-4a96-8551-b976b2e92db8;0;0;0;0;0;0;0;0;;{};;;;2026-01-26 02:38:13.77208+00;2026-01-26 02:38:13.77208+00;2026-01-26 02:38:13.77208+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
c7b5f252-0683-451c-bac0-87e7068a3de5;58704a4c-3ac5-41f4-aad4-2a89e468ab6a;4;0;0;0;0;0;0;0;;{};;;;2026-01-01 21:01:02.534199+00;2026-01-03 20:10:23.012319+00;2026-01-03 20:10:23.012319+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
508c6de4-b0b5-4be3-9fc5-aa2c0d8db632;4298daac-c913-440e-a79c-3e75cea7c451;2;0;0;0;0;0;0;0;;{};;;;2025-12-15 19:24:36.807856+00;2025-12-15 19:24:54.839598+00;2025-12-15 19:24:54.839598+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
e27efe6a-2663-42ff-8084-95252aa288b2;095e870b-d556-4807-b004-9042967ddea5;0;0;0;0;0;0;0;0;;{};;;;2026-01-08 20:06:39.46609+00;2026-01-08 20:06:39.46609+00;2026-01-08 20:06:39.46609+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
73209b94-d57b-4afc-80f2-21038fbbe54c;6b24aaf8-bcf7-42bd-80c4-46d8c12ecafe;4;0;0;0;0;0;0;0;;{};;;;2026-01-07 00:20:33.975427+00;2026-01-07 17:09:40.60111+00;2026-01-07 17:09:40.60111+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
fd0aac9d-f775-4835-b1a9-3cfcb5fb5cd5;0eb58c24-425a-431a-912f-845508cca706;8;0;0;0;0;0;0;0;;{};;;;2026-01-08 22:43:47.204206+00;2026-02-02 17:01:24.033812+00;2026-02-02 17:01:24.033812+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
9269b856-cb44-4843-8fdb-6ff4e9dd8c67;df118170-902a-4063-8dc1-a538342e4f53;1;0;0;0;0;0;0;0;;{};;;;2026-01-23 21:46:17.782141+00;2026-01-23 22:20:18.943495+00;2026-01-23 22:20:18.943495+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
9cdc8e6b-173c-4515-be33-800a75cb09c9;054ad970-35f5-4183-96a6-eef6a3c8ff8b;70;0;0;0;0;0;0;0;;{};;;;2026-01-07 23:00:11.343181+00;2026-02-10 17:47:24.273054+00;2026-02-10 17:47:24.273054+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
ecaeed0a-5c64-4463-af6f-0d53428e9f5f;a5c71dab-0f9c-4503-a488-e99777ed7f91;0;0;0;0;0;0;0;0;;{};;;;2026-01-24 13:55:11.923314+00;2026-01-24 13:55:11.923314+00;2026-01-24 13:55:11.923314+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
23213d84-887b-4766-853c-f622a05dc0f0;6f3358ea-2084-4615-9805-42bd8e06de44;12;0;0;0;0;0;0;0;;{};;;;2026-02-01 23:47:11.109345+00;2026-02-07 06:48:06.670572+00;2026-02-07 06:48:06.670572+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
d0abfbb4-4d15-4fc2-bcff-06cb6c8a817f;d7833079-c38a-4009-9b74-9e7f6bed343f;2;0;0;0;0;0;0;0;;{};;;;2026-01-29 19:56:10.409305+00;2026-02-01 23:19:23.92565+00;2026-02-01 23:19:23.92565+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
b11c0f10-9159-41f5-94e6-e9d24eeab7ac;b1985a63-1a15-4e5f-b6a6-0b3e98d47a2e;16;0;0;0;0;0;0;0;;{};;;;2026-02-02 02:56:34.414379+00;2026-02-02 03:08:32.446003+00;2026-02-02 03:08:32.446003+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
1cf14fb4-45d0-4873-af4b-554673d183e6;b8c5a162-5141-422e-9924-dc0e8c333790;1562;0;0;0;0;0;0;0;;{};;;;2025-12-07 08:36:49.483287+00;2026-02-16 18:17:38.211466+00;2026-02-16 18:17:38.211466+00;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];{};
