id;franchise_code;franchise_name;category;description;icon_name;typical_job_value_min;typical_job_value_max;materials_advance_percent;platform_fee_percent;material_referral_percent;partner_data_share_percent;proof_requirements;certification_required;is_active;metadata;created_at;updated_at
00ee758d-f001-442a-94ed-16c466ad07a5;POTHOLE;Pothole Repair;Infrastructure;Road surface repair and patching;construction;150.00;2500.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
620f92ba-e6a1-4996-b1a3-2a9ceae7c037;LIGHTING;Street Lighting;Infrastructure;Light pole repair and installation;lightbulb;200.00;5000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
cd856758-9528-4e46-88c5-7ec35562670f;FENCE;Fence Repair;Property;Fence repair and installation;fence;100.00;3000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
c30397d8-f8cc-4401-abe0-c257262365bc;PAINTING;Building Painting;Property;Exterior and interior painting;paintbrush;500.00;15000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
cb7d7705-7be5-41e7-940b-b61d098a3c0c;PLUMBING;Plumbing Repair;Maintenance;Pipe repair and leak fixing;wrench;100.00;5000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
33a6b4ae-c02f-4fdd-93cc-67bae32b3146;ELECTRICAL;Electrical Repair;Maintenance;Electrical system repairs;zap;150.00;8000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
984c0442-b5ab-42b1-a20e-2efe5b3d3e2d;SIGNAGE;Sign Repair;Infrastructure;Traffic and business sign repair;signpost;75.00;1500.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
e0bb0454-c106-49e5-85f2-64afe6954419;HVAC;HVAC Services;Maintenance;Heating and cooling repairs;thermometer;200.00;10000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
db23bd0a-d0ee-4eee-a6e0-d3178c9a84c6;LANDSCAPING;Landscaping;Property;Lawn care and landscaping;trees;100.00;5000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
436e441a-3f35-4253-93b9-38c0e248adcb;CLEANING;Commercial Cleaning;Property;Building and facility cleaning;sparkles;100.00;3000.00;30.00;8.00;3.00;2.00;"[""before_photo"",""after_photo"",""completion_timestamp""]";false;true;{};2025-12-24 16:57:02.839684+00;2025-12-24 16:57:02.839684+00
