id;user_id;category;subcategory;name;description;pricing_model;base_price;is_active;is_featured;metadata;created_at;updated_at
30ee9729-3b78-4165-9ed9-4220f8b7fd5f;;Blockchain;Development;Private Blockchain Development;Custom private blockchain solutions for enterprises;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
ef8adfb2-0112-4e6d-8e90-931c545d6b6c;;Blockchain;Development;Smart Contract Development;Solidity and other smart contract development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
bb7ecb32-8d9e-415f-b52f-c81bd1c65095;;Blockchain;Development;Smart Contract Audits;Security audits for smart contracts;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
52c10364-7cbe-4cf1-ba21-652aa7203574;;Blockchain;Development;Enterprise Blockchain Solutions;Scalable blockchain for enterprise needs;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
a1bbae4a-7d13-4337-9dcd-56c3cfd936ee;;Blockchain;Development;IPFS Blockchain Development;Decentralized storage solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
dbd62400-26a3-46b5-8333-25e2bf00505d;;Blockchain;Development;Solana Blockchain Development;High-performance Solana development;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
9452295a-dd43-4cf5-acfa-bfaa22932e35;;Blockchain;Development;Blockchain Wallet Development;Custom crypto wallet solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
863acf60-9017-4dbb-ad98-e47adaaa4da5;;Blockchain;Industry;Blockchain in Supply Chain;Supply chain transparency and tracking;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
151a17c1-d355-467e-915c-614ee55cbe11;;Blockchain;Industry;Blockchain in Real Estate;Property tokenization and management;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
60c151a0-2db0-487f-8457-499d04a64eab;;Blockchain;Industry;Blockchain in Healthcare;Healthcare data management on blockchain;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
b7b3ac8a-8c2c-4914-9813-9ab83e2825b6;;Blockchain;Industry;Blockchain in Manufacturing;Manufacturing process tracking;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
f8002b55-f2eb-4a1e-814b-3603c4e57c7b;;Blockchain;Industry;Blockchain in Insurance;Insurance claims automation;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
ff539d14-1ac6-4d3e-ab26-bc4a27f7d5c2;;Blockchain;Services;Security Token Offering Services;STO development and launch;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
790ba204-26b0-4e62-aef7-46bda8bd3b69;;Blockchain;Services;Blockchain Consulting Services;Strategic blockchain consulting;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
5d86180c-d6c4-4151-84fd-9d7460f0d69f;;AI;Development;AI Development Company;Custom AI solution development;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
c429ece9-d778-426d-b8d0-59400b125934;;AI;Development;Machine Learning Development;ML model development and training;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
bcfcf0da-aafe-4fca-9920-447c660ed328;;AI;Development;Generative AI Development;GenAI applications and integrations;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
ae8209bf-66ee-4172-b1f3-f434a14e02d4;;AI;Development;AI Chatbot Development;Custom chatbot solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
6b38c58e-89c6-4512-a4f2-4941ec3b641d;;AI;Development;Predictive Analytics;Data-driven predictive models;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
16dfe2c4-1a10-40f6-a884-0e6f58ae1a3e;;AI;Enterprise;Enterprise AI Development;Large-scale enterprise AI;custom;;true;true;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
be792c59-6c90-48b0-aab8-97c098f805b8;;AI;Enterprise;AI for Enterprises;Enterprise AI transformation;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
2bd8168d-63d9-423f-bfda-222ad8a7c5d7;;AI;Industry;AI in Ecommerce;E-commerce AI solutions;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
bfafe49e-fa81-42ef-b8db-b10ca4be3bcf;;AI;Industry;AI in Supply Chain;Supply chain optimization AI;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
93e2c4ca-4215-4446-828e-ce997014fe07;;AI;Industry;AI in Real Estate;Real estate AI applications;custom;;true;false;{};2025-12-09 21:09:42.360515+00;2025-12-09 21:09:42.360515+00
