id;category;label;description;status;open_at;close_at;settle_at;base_odds;live_odds;signal_score;metadata;created_at;updated_at;created_by
5e6179b1-26a2-42c7-b7b2-d87620f29254;SPORTS;49ers @ Texans - Moneyline;;OPEN;2025-10-26 22:39:21.105768+00;2025-10-29 22:39:21.105768+00;;1.850;1.780;0.360;"{""away"":""49ers"",""home"":""Texans"",""league"":""NFL"",""sport"":""football""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
975e6c93-532d-40c7-a54a-0b941f253313;SPORTS;49ers @ Texans - Total Points O/U 47.5;;OPEN;2025-10-26 22:39:21.105768+00;2025-10-29 22:39:21.105768+00;;2.000;1.950;0.120;"{""league"":""NFL"",""line"":47.5,""sport"":""football""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
f6f9efc4-ee7f-4b5c-b74d-910bdb5cc9bf;SPORTS;Warriors @ Lakers - Moneyline;;OPEN;2025-10-26 22:39:21.105768+00;2025-10-27 22:39:21.105768+00;;1.750;1.820;	-0.180;"{""away"":""Warriors"",""home"":""Lakers"",""league"":""NBA"",""sport"":""basketball""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
548d4ca3-c4b2-4d31-bf84-bfc7b954ff00;SPORTS;Patrick Mahomes Over 289.5 Passing Yards;;OPEN;2025-10-26 22:39:21.105768+00;2025-10-28 22:39:21.105768+00;;1.910;1.880;0.080;"{""league"":""NFL"",""line"":289.5,""player"":""Patrick Mahomes"",""stat"":""passing_yards""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
caf89047-f07c-4940-bd11-0c9bc9f8c4d7;STOCKS;AAPL Earnings Beat Estimate by 5%+;;OPEN;2025-10-26 22:39:21.105768+00;2025-10-31 22:39:21.105768+00;;2.200;2.050;0.420;"{""threshold"":""5%"",""ticker"":""AAPL"",""type"":""earnings""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
5b8e0880-eaaf-4195-8da5-b34c8a8a6115;STOCKS;TSLA Q4 Deliveries Beat 450K;;OPEN;2025-10-26 22:39:21.105768+00;2025-11-05 22:39:21.105768+00;;2.500;2.350;0.280;"{""threshold"":450000,""ticker"":""TSLA"",""type"":""deliveries""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
c1f2b264-60f2-491c-900d-b5fa010a435c;CRYPTO;Bitcoin Above $70K This Week;;OPEN;2025-10-26 22:39:21.105768+00;2025-11-02 22:39:21.105768+00;;3.000;2.800;0.550;"{""asset"":""BTC"",""threshold"":70000,""timeframe"":""1w""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
8562eb3c-aa53-4270-8839-cf809ae0bb7c;CRYPTO;Ethereum Dencun Upgrade Success;;OPEN;2025-10-26 22:39:21.105768+00;2025-11-09 22:39:21.105768+00;;1.500;1.450;0.620;"{""asset"":""ETH"",""event"":""dencun_upgrade""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
5afe2702-da3d-469c-8f11-aa1c2f839139;WORLD;Fed Raises Rates 0.25% at Next Meeting;;OPEN;2025-10-26 22:39:21.105768+00;2025-11-16 22:39:21.105768+00;;2.750;2.600;	-0.350;"{""category"":""monetary_policy"",""organization"":""Federal Reserve""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
33e9e81d-0756-4c02-8905-8f467fa006a3;WORLD;TX Governor Election - Incumbent Wins;;OPEN;2025-10-26 22:39:21.105768+00;2026-04-24 22:39:21.105768+00;;1.650;1.580;0.150;"{""category"":""politics"",""state"":""TX"",""type"":""gubernatorial""}";2025-10-26 22:39:21.105768+00;2025-10-26 22:39:21.105768+00;
