id;market_id;source;kind;weight;impact;summary;url;created_at
5716b19f-0a95-42d5-a5d3-a10f7d550e57;5e6179b1-26a2-42c7-b7b2-d87620f29254;ESPN;INJURY;0.65;0.450;Star QB cleared to play after injury concern - major boost for 49ers offense;https://espn.com/nfl/story;2025-10-26 22:51:22.538432+00
061d1699-47a9-4b28-ba65-dcb7a35c4fd7;5e6179b1-26a2-42c7-b7b2-d87620f29254;Open-Meteo;WEATHER;0.35;	-0.150;Light rain expected, 12mph winds - minor impact on passing game;https://open-meteo.com;2025-10-26 22:51:22.538432+00
51b9c6e3-300f-497e-b898-d03071828767;5e6179b1-26a2-42c7-b7b2-d87620f29254;NFL Stats;TREND;0.50;0.250;49ers 7-2 ATS in last 9 road games, Texans 3-6 at home;;2025-10-26 22:51:22.538432+00
5f3a451b-00ec-4d27-b098-0cf8b8192cc9;975e6c93-532d-40c7-a54a-0b941f253313;Open-Meteo;WEATHER;0.45;0.200;Clear skies, 8mph winds - ideal conditions for high-scoring game;https://open-meteo.com;2025-10-26 22:51:22.538432+00
b8c61688-8eca-4aea-95b3-5df365017626;975e6c93-532d-40c7-a54a-0b941f253313;NFL Stats;TREND;0.40;0.150;Both teams averaging 27+ PPG over last 4 games;;2025-10-26 22:51:22.538432+00
dc43fb09-249c-4fb8-9d5c-1d1e9641bd2a;f6f9efc4-ee7f-4b5c-b74d-910bdb5cc9bf;ESPN;INJURY;0.70;	-0.300;Lakers star forward questionable with ankle injury - game-time decision;https://espn.com/nba/story;2025-10-26 22:51:22.538432+00
8f57f6a5-e77b-4b71-9b21-729b121f6115;f6f9efc4-ee7f-4b5c-b74d-910bdb5cc9bf;NBA Stats;TREND;0.35;	-0.100;Lakers 2-5 in last 7 home games vs Western Conference;;2025-10-26 22:51:22.538432+00
66e8bd21-02e1-46cf-9d62-30aa47fabd16;548d4ca3-c4b2-4d31-bf84-bfc7b954ff00;Open-Meteo;WEATHER;0.30;0.100;Dome game - no weather impact on passing yards;https://open-meteo.com;2025-10-26 22:51:22.538432+00
e8155596-9d16-479a-a14d-8dbbe263f446;548d4ca3-c4b2-4d31-bf84-bfc7b954ff00;NFL Stats;TREND;0.55;0.050;Mahomes averaging 285 yards over last 5 games, opponent allows 270 YPG;;2025-10-26 22:51:22.538432+00
5bc64f2b-7583-46ab-bf11-355c62661dd9;caf89047-f07c-4940-bd11-0c9bc9f8c4d7;Bloomberg;EARNINGS;0.75;0.500;iPhone 15 sales exceed analyst estimates in key markets;https://bloomberg.com/tech;2025-10-26 22:51:22.538432+00
